Model,Image URL,Shop,City,Price
"LG OLED55C3 55 """,https://s.ek.ua/jpg/2421027.jpg,АЛЛО (Ужгород) →,Ужгород,67999
"LG OLED55C3 55 """,https://s.ek.ua/jpg/2421027.jpg,Click.ua (з Києва) →,з Києва,67999
"Samsung QE-55QN85C 55 """,https://s.ek.ua/jpg/2405337.jpg,Samsung Experience Store  ,,49999
"Samsung QE-55QN85C 55 """,https://s.ek.ua/jpg/2405337.jpg,Openshop.ua (з Києва) →,з Києва,33852
"Samsung QE-55QN85C 55 """,https://s.ek.ua/jpg/2405337.jpg,FOXTROT.UA (Ужгород) →,Ужгород,49999
"Samsung QE-55QN85C 55 """,https://s.ek.ua/jpg/2405337.jpg,Moyo.ua (Ужгород) →,Ужгород,49999
"Samsung QE-55QN85C 55 """,https://s.ek.ua/jpg/2405337.jpg,Telebym.com (з Дніпра) →,з Дніпра,43999
"Samsung QE-55QN85C 55 """,https://s.ek.ua/jpg/2405337.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,43999
"Samsung QE-55QN85C 55 """,https://s.ek.ua/jpg/2405337.jpg,АЛЛО (Ужгород) →,Ужгород,49999
"Samsung UE-43CU7100 43 """,https://s.ek.ua/jpg/2406008.jpg,Samsung Experience Store  ,,16999
"Samsung UE-43CU7100 43 """,https://s.ek.ua/jpg/2406008.jpg,Openshop.ua (з Києва) →,з Києва,16999
"Samsung UE-43CU7100 43 """,https://s.ek.ua/jpg/2406008.jpg,FOXTROT.UA (Ужгород) →,Ужгород,16999
"Samsung UE-43CU7100 43 """,https://s.ek.ua/jpg/2406008.jpg,Moyo.ua (Ужгород) →,Ужгород,16999
"Samsung UE-43CU7100 43 """,https://s.ek.ua/jpg/2406008.jpg,Click.ua (з Києва) →,з Києва,16999
"Samsung UE-43CU7100 43 """,https://s.ek.ua/jpg/2406008.jpg,Telebym.com (з Дніпра) →,з Дніпра,16499
"Samsung UE-43CU7100 43 """,https://s.ek.ua/jpg/2406008.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,16499
"Samsung QE-55S90C 55 """,https://s.ek.ua/jpg/2406552.jpg,Openshop.ua (з Києва) →,з Києва,45440
"Samsung QE-55S90C 55 """,https://s.ek.ua/jpg/2406552.jpg,FOXTROT.UA (Ужгород) →,Ужгород,57999
"Samsung QE-55S90C 55 """,https://s.ek.ua/jpg/2406552.jpg,Moyo.ua (Ужгород) →,Ужгород,57999
"Samsung QE-55S90C 55 """,https://s.ek.ua/jpg/2406552.jpg,Click.ua (з Києва) →,з Києва,57999
"Samsung QE-55S90C 55 """,https://s.ek.ua/jpg/2406552.jpg,Telebym.com (з Дніпра) →,з Дніпра,51999
"Samsung QE-55S90C 55 """,https://s.ek.ua/jpg/2406552.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,44999
"Samsung QE-55S90C 55 """,https://s.ek.ua/jpg/2406552.jpg,PermyCo (з Києва) →,з Києва,55799
"Hisense 55U7KQ 55 """,https://s.ek.ua/jpg/2474453.jpg,Openshop.ua (з Києва) →,з Києва,31050
"Hisense 55U7KQ 55 """,https://s.ek.ua/jpg/2474453.jpg,FOXTROT.UA (Ужгород) →,Ужгород,34999
"Hisense 55U7KQ 55 """,https://s.ek.ua/jpg/2474453.jpg,АЛЛО (Ужгород) →,Ужгород,39999
"Hisense 55U7KQ 55 """,https://s.ek.ua/jpg/2474453.jpg,Click.ua (з Києва) →,з Києва,39999
"Hisense 55U7KQ 55 """,https://s.ek.ua/jpg/2474453.jpg,PermyCo (з Києва) →,з Києва,31199
"Hisense 55U7KQ 55 """,https://s.ek.ua/jpg/2474453.jpg,Denika.ua (з Харкова) →,з Харкова,31645
"Hisense 55U7KQ 55 """,https://s.ek.ua/jpg/2474453.jpg,Davi.com.ua (з Києва) →,з Києва,34998
"Samsung UE-50BU8002 50 """,https://s.ek.ua/jpg/2201758.jpg,I-sklad.com.ua (з Києва) →,з Києва,12770
"Samsung UE-50BU8002 50 """,https://s.ek.ua/jpg/2201758.jpg,Techno-aks.com (з Львова) ,з Львова,14800
"Samsung UE-50BU8002 50 """,https://s.ek.ua/jpg/2201758.jpg,Hi-tech.com.ua (з Києва) →,з Києва,13050
"Samsung UE-50BU8002 50 """,https://s.ek.ua/jpg/2201758.jpg,Tehnoexpert.com.ua (з Львова) ,з Львова,23146
"Sony KD-55X85L 55 """,https://s.ek.ua/jpg/2516127.jpg,Sony Centre (з Києва) →,з Києва,53999
"Sony KD-55X85L 55 """,https://s.ek.ua/jpg/2516127.jpg,Openshop.ua (з Києва) →,з Києва,37660
"Sony KD-55X85L 55 """,https://s.ek.ua/jpg/2516127.jpg,FOXTROT.UA (Ужгород) →,Ужгород,53999
"Sony KD-55X85L 55 """,https://s.ek.ua/jpg/2516127.jpg,PermyCo (з Києва) →,з Києва,48899
"Sony KD-55X85L 55 """,https://s.ek.ua/jpg/2516127.jpg,Moyo.ua (Ужгород) →,Ужгород,53999
"Sony KD-55X85L 55 """,https://s.ek.ua/jpg/2516127.jpg,Repka.ua (з Києва) →,з Києва,53999
"Sony KD-55X85L 55 """,https://s.ek.ua/jpg/2516127.jpg,Denika.ua (з Харкова) →,з Харкова,37809
"LG 32LQ6300 32 """,https://s.ek.ua/jpg/2195284.jpg,Openshop.ua (з Києва) →,з Києва,9518
"LG 32LQ6300 32 """,https://s.ek.ua/jpg/2195284.jpg,FOXTROT.UA (Ужгород) →,Ужгород,10999
"LG 32LQ6300 32 """,https://s.ek.ua/jpg/2195284.jpg,Click.ua (з Києва) →,з Києва,10899
"LG 32LQ6300 32 """,https://s.ek.ua/jpg/2195284.jpg,Telebym.com (з Дніпра) →,з Дніпра,10998
"LG 32LQ6300 32 """,https://s.ek.ua/jpg/2195284.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,10998
"LG 32LQ6300 32 """,https://s.ek.ua/jpg/2195284.jpg,АЛЛО (Ужгород) →,Ужгород,10999
"LG 32LQ6300 32 """,https://s.ek.ua/jpg/2195284.jpg,PermyCo (з Києва) →,з Києва,11099
"Samsung QE-50Q80B 50 """,https://s.ek.ua/jpg/2211177.jpg,Moyo.ua (Ужгород) →,Ужгород,37999
"Samsung QE-50Q80B 50 """,https://s.ek.ua/jpg/2211177.jpg,Repka.ua (з Києва) →,з Києва,37999
"Samsung QE-50Q80B 50 """,https://s.ek.ua/jpg/2211177.jpg,I-sklad.com.ua (з Києва) →,з Києва,22400
"Samsung QE-50Q80B 50 """,https://s.ek.ua/jpg/2211177.jpg,Sokol.ua (з Києва) →,з Києва,37999
"Samsung QE-50Q80B 50 """,https://s.ek.ua/jpg/2211177.jpg,Hi-tech.com.ua (з Києва) →,з Києва,23430
"Samsung QE-50Q80B 50 """,https://s.ek.ua/jpg/2211177.jpg,Techno-aks.com (з Львова) ,з Львова,22000
"Samsung QE-50Q80B 50 """,https://s.ek.ua/jpg/2211177.jpg,Strongmart.com.ua (з Києва) ,з Києва,27010
"Akai UA32HD22T2SF 32 """,https://s.ek.ua/jpg/2673380.jpg,АЛЛО (Ужгород) →,Ужгород,5599
"Akai UA32HD22T2SF 32 """,https://s.ek.ua/jpg/2673380.jpg,TTT.ua (з Києва) →,з Києва,5599
"Akai UA32HD22T2SF 32 """,https://s.ek.ua/jpg/2673380.jpg,ШО (з Києва) →,з Києва,5113
"Akai UA32HD22T2SF 32 """,https://s.ek.ua/jpg/2673380.jpg,Palladium.ua (з Києва) →,з Києва,5469
"Akai UA32HD22T2SF 32 """,https://s.ek.ua/jpg/2673380.jpg,Pro100market.com.ua (з Києва) ,з Києва,5420
"Akai UA32HD22T2SF 32 """,https://s.ek.ua/jpg/2673380.jpg,Stylus.ua (з Києва) →,з Києва,5127
"Akai UA32HD22T2SF 32 """,https://s.ek.ua/jpg/2673380.jpg,Vodogreyka.com.ua (з Києва) ,з Києва,5393
"LG 43UR8100 43 """,https://s.ek.ua/jpg/2418826.jpg,Openshop.ua (з Києва) →,з Києва,16385
"LG 43UR8100 43 """,https://s.ek.ua/jpg/2418826.jpg,FOXTROT.UA (Ужгород) →,Ужгород,17999
"LG 43UR8100 43 """,https://s.ek.ua/jpg/2418826.jpg,Click.ua (з Києва) →,з Києва,17999
"LG 43UR8100 43 """,https://s.ek.ua/jpg/2418826.jpg,Moyo.ua (Ужгород) →,Ужгород,17999
"LG 43UR8100 43 """,https://s.ek.ua/jpg/2418826.jpg,АЛЛО (Ужгород) →,Ужгород,17999
"LG 43UR8100 43 """,https://s.ek.ua/jpg/2418826.jpg,PermyCo (з Києва) →,з Києва,16999
"LG 43UR8100 43 """,https://s.ek.ua/jpg/2418826.jpg,Repka.ua (з Києва) →,з Києва,17999
"Philips 43PUS8518 43 """,https://s.ek.ua/jpg/2499831.jpg,Openshop.ua (з Києва) →,з Києва,21736
"Philips 43PUS8518 43 """,https://s.ek.ua/jpg/2499831.jpg,FOXTROT.UA (Ужгород) →,Ужгород,25999
"Philips 43PUS8518 43 """,https://s.ek.ua/jpg/2499831.jpg,PermyCo (з Києва) →,з Києва,21799
"Philips 43PUS8518 43 """,https://s.ek.ua/jpg/2499831.jpg,АЛЛО (Ужгород) →,Ужгород,25999
"Philips 43PUS8518 43 """,https://s.ek.ua/jpg/2499831.jpg,TTT.ua (з Києва) →,з Києва,25999
"Philips 43PUS8518 43 """,https://s.ek.ua/jpg/2499831.jpg,Denika.ua (з Харкова) →,з Харкова,21288
"Philips 43PUS8518 43 """,https://s.ek.ua/jpg/2499831.jpg,I-sklad.com.ua (з Києва) →,з Києва,16120
"Xiaomi Mi TV A2 32 32 """,https://s.ek.ua/jpg/2353000.jpg,Openshop.ua (з Києва) →,з Києва,7491
"Xiaomi Mi TV A2 32 32 """,https://s.ek.ua/jpg/2353000.jpg,Click.ua (з Києва) →,з Києва,7769
"Xiaomi Mi TV A2 32 32 """,https://s.ek.ua/jpg/2353000.jpg,АЛЛО (Ужгород) →,Ужгород,7499
"Xiaomi Mi TV A2 32 32 """,https://s.ek.ua/jpg/2353000.jpg,TTT.ua (з Києва) →,з Києва,7499
"Xiaomi Mi TV A2 32 32 """,https://s.ek.ua/jpg/2353000.jpg,Denika.ua (з Харкова) →,з Харкова,7299
"Xiaomi Mi TV A2 32 32 """,https://s.ek.ua/jpg/2353000.jpg,Stylus.ua (з Києва) →,з Києва,7505
"Xiaomi Mi TV A2 32 32 """,https://s.ek.ua/jpg/2353000.jpg,Megadom.net (з Дніпра) →,з Дніпра,7899
